,Unnamed: 0,latitude,longitude,property_type,room_type,beds,accommodates,price,number_of_reviews,review_scores_rating,host_is_superhost,host_listings_count,host_total_listings_count
12564,16699,40.69209,-73.96055,Private room in loft,Private room,1.0,2,65.0,5,3.5,False,1.0,2.0
12565,16700,40.74853,-73.97904,Entire rental unit,Entire home/apt,1.0,2,161.0,45,4.71,False,1.0,4.0
12566,16702,40.69348,-73.99469,Entire rental unit,Entire home/apt,1.0,4,75.0,3,4.67,False,1.0,1.0
12567,16703,40.70429,-73.93627,Entire loft,Entire home/apt,1.0,2,300.0,3,4.67,False,1.0,3.0
12568,16704,40.70511,-73.91918,Entire loft,Entire home/apt,2.0,4,200.0,6,5.0,False,1.0,1.0
12569,16705,40.78773,-73.9725,Entire rental unit,Entire home/apt,1.0,2,141.0,1,5.0,False,1.0,1.0
12570,16707,40.86623,-73.91993,Private room in rental unit,Private room,1.0,1,50.0,1,4.0,False,1.0,1.0
12571,16708,40.76164,-73.99444,Entire rental unit,Entire home/apt,2.0,4,105.0,2,4.5,False,1.0,1.0
12572,16710,40.72815,-73.87875,Private room in home,Private room,1.0,1,55.0,51,4.67,False,2.0,12.0
12573,16711,40.72737,-73.87623,Private room in home,Private room,1.0,1,55.0,38,4.92,False,2.0,12.0
12574,16712,40.71336,-73.95647,Private room in rental unit,Private room,1.0,1,90.0,2,5.0,False,1.0,1.0
12575,16713,40.68074,-73.91969,Private room in rental unit,Private room,2.0,2,85.0,117,4.79,False,1.0,1.0
12576,16716,40.67325,-73.97884,Entire rental unit,Entire home/apt,2.0,4,250.0,25,5.0,True,1.0,1.0
12577,16718,40.67722,-73.86025,Private room in rental unit,Private room,1.0,2,45.0,10,5.0,False,1.0,3.0
12578,16719,40.72051,-73.99054,Entire rental unit,Entire home/apt,2.0,4,250.0,129,4.47,False,1.0,3.0
12579,16720,40.61247,-73.94902,Entire rental unit,Entire home/apt,1.0,2,92.0,20,4.73,False,1.0,1.0
12580,16721,40.74478,-73.9184,Private room in rental unit,Private room,1.0,2,139.0,3,5.0,False,4.0,4.0
12581,16722,40.74564,-73.91648,Private room in rental unit,Private room,1.0,2,109.0,6,4.5,False,4.0,4.0
12582,16723,40.74701,-73.91692,Entire rental unit,Entire home/apt,2.0,4,279.0,12,4.42,False,4.0,4.0
12583,16724,40.74577,-73.91834,Entire rental unit,Entire home/apt,2.0,5,249.0,6,4.33,False,4.0,4.0
12584,16725,40.74943149228527,-73.94064408783683,Entire rental unit,Entire home/apt,1.0,2,251.0,9,5.0,False,1.0,2.0
12585,16726,40.68455,-73.99739,Entire rental unit,Entire home/apt,3.0,4,189.0,334,4.96,True,2.0,2.0
12586,16727,40.68533,-73.99775,Shared room in rental unit,Shared room,2.0,2,186.0,347,4.96,True,2.0,2.0
12587,16728,40.63674,-73.97494,Private room in rental unit,Private room,1.0,2,50.0,1,5.0,False,1.0,3.0
12588,16730,40.69327,-73.9494,Private room in rental unit,Private room,1.0,2,49.0,1,5.0,False,1.0,1.0
12589,16731,40.629469256876106,-73.93748692957794,Entire home,Entire home/apt,2.0,2,201.0,51,4.96,True,1.0,1.0
12590,16732,40.78866,-73.94783,Entire rental unit,Entire home/apt,2.0,2,155.0,21,4.5,False,1.0,1.0
12591,16733,40.68139,-73.91451,Private room in townhouse,Private room,1.0,2,115.0,42,4.79,True,1.0,1.0
12592,16734,40.67895,-73.96302,Entire condo,Entire home/apt,5.0,6,250.0,3,5.0,False,1.0,1.0
